id,time,id_estacion,temperature,humidity,wind,solar_radiation
51,1708398000,1,25.98,78.03,14.61,85.76
52,1708484400,1,25.03,89.66,15.93,78.96
53,1708570800,1,21.53,59.59,16.42,52.32
54,1708657200,1,26.64,64.83,14.51,53.93
55,1708743600,1,23.3,83.18,12.68,61.56
56,1708830000,1,23.97,69.52,12.77,66.88
57,1708916400,1,22.48,71.33,14.75,57.32
58,1709002800,1,14.28,71.56,15.39,63.6
59,1709089200,1,18.42,63.02,20.11,69.3
60,1709175600,1,24.7,79.73,15.36,79.09
61,1709262000,1,18.85,64.24,16.57,55.86
62,1709348400,1,18.8,71.02,16.84,80.16
63,1709434800,1,20.01,62.89,12.63,80.15
64,1709521200,1,26.25,87.32,13.18,63.44
65,1709607600,1,26.27,80.01,13.82,77.08
66,1709694000,1,19.57,62.94,17.95,82.66
67,1709780400,1,25.74,53.68,13.86,86.84
68,1709866800,1,21.26,54.03,16.78,75.37
69,1709953200,1,19.98,60.46,15.33,66.89
70,1710039600,1,25.91,56.66,18.75,72.37
71,1710126000,1,22.52,72.8,16.68,63.36
72,1710212400,1,23.32,62.97,15.9,71.63
73,1710298800,1,20.58,76.44,15.11,84.08
74,1710385200,1,19.34,67.17,13.65,68.89
75,1710471600,1,19.32,78.75,15.11,80.47
76,1710558000,1,17.7,81.21,14.01,61.51
77,1710644400,1,21.74,60.41,17.53,70.2
78,1710730800,1,24.52,71.79,14.98,72.4
79,1710817200,1,22.17,80.87,15.8,61.75
80,1710903600,1,29.35,73.36,14.4,63.78
81,1710990000,1,21.97,62.34,18.2,58.08
82,1711076400,1,23.01,66.8,14.01,70.8
83,1711162800,1,29.7,55.19,13.61,57.64
84,1711249200,1,16.41,46.95,14.93,59.0
85,1711335600,1,16.53,71.01,12.79,67.77
86,1711422000,1,27.19,69.46,11.6,66.64
87,1711508400,1,19.75,69.69,11.19,61.42
88,1711594800,1,23.0,65.86,15.81,65.48
89,1711681200,1,19.89,59.91,14.4,76.82
90,1711767600,1,27.35,68.14,18.23,56.74
91,1711854000,1,14.36,65.67,15.24,86.45
92,1711940400,1,23.03,77.49,17.36,81.5
93,1712026800,1,18.88,62.75,13.27,56.2
94,1712113200,1,29.23,73.65,13.73,77.51
95,1712199600,1,24.59,78.3,16.36,68.88
96,1712286000,1,23.35,49.53,18.17,68.36
97,1712372400,1,19.63,49.06,15.63,73.51
98,1712458800,1,20.7,53.63,18.5,70.03
99,1712545200,1,21.25,71.24,17.77,63.03
100,1712631600,1,26.93,70.7,16.3,69.38
101,1712718000,1,23.2,62.78,17.36,73.53
102,1712804400,1,20.36,64.14,11.61,61.91
103,1712890800,1,22.19,56.46,18.4,50.75
104,1712977200,1,28.27,68.47,17.05,77.15
105,1713063600,1,24.9,65.31,16.54,67.9
106,1713150000,1,22.52,51.1,17.81,56.66
107,1713236400,1,19.57,63.53,15.14,76.82
108,1713322800,1,16.1,64.22,18.26,67.75
109,1713409200,1,25.38,71.7,12.73,70.29
110,1713495600,1,22.5,66.09,16.07,73.06
111,1713582000,1,21.91,79.84,16.79,80.76
112,1713668400,1,23.17,71.81,12.46,63.15
113,1713754800,1,23.71,53.09,12.34,79.3
114,1713841200,1,20.06,73.13,14.29,79.12
115,1713927600,1,22.58,75.84,18.16,57.62
116,1714014000,1,22.8,69.58,14.41,74.61
117,1714100400,1,17.37,48.17,18.83,58.71
118,1714186800,1,23.56,62.15,18.79,57.23
119,1714273200,1,26.6,61.58,15.05,64.99
120,1714359600,1,22.73,56.01,13.43,79.8
121,1714446000,1,25.89,68.05,13.5,83.76
122,1714532400,1,21.11,44.79,12.37,71.89
123,1714618800,1,25.92,68.16,11.23,60.66
124,1714705200,1,22.1,64.1,14.68,66.16
125,1714791600,1,24.15,58.46,14.02,72.46
126,1714878000,1,22.41,57.48,16.45,64.94
127,1714964400,1,25.08,56.9,12.88,83.36
128,1715050800,1,24.44,49.31,15.8,70.54
129,1715137200,1,22.96,71.11,10.89,72.02
130,1715223600,1,23.43,68.06,16.05,73.1
131,1715310000,1,20.5,67.92,15.53,64.18
132,1715396400,1,17.83,62.6,14.37,59.48
133,1715482800,1,27.27,54.14,16.87,63.47
134,1715569200,1,23.09,68.11,14.0,60.53
135,1715655600,1,22.53,80.75,14.19,65.51
136,1715742000,1,20.64,71.9,16.79,59.78
137,1715828400,1,27.34,59.67,17.65,72.44
138,1715914800,1,25.43,56.13,14.79,63.15
139,1716001200,1,20.96,66.64,17.53,73.41
140,1716087600,1,21.2,74.56,16.5,79.58
141,1716174000,1,24.72,52.14,19.64,64.76
142,1716260400,1,20.13,54.1,15.74,66.13
143,1716346800,1,24.87,64.17,13.86,86.84
144,1716433200,1,24.76,58.1,17.42,64.68
145,1716519600,1,22.05,74.63,14.89,59.43
146,1716606000,1,23.72,79.05,14.32,71.03
147,1716692400,1,17.73,55.68,17.34,75.35
148,1716778800,1,18.81,68.8,17.76,87.16
149,1716865200,1,22.66,64.48,14.09,62.88
150,1716951600,1,19.8,65.52,14.05,78.05
151,1717038000,1,22.63,72.32,15.58,83.81
152,1717124400,1,22.7,71.05,15.2,85.34
153,1717210800,1,21.01,79.83,15.73,62.05
154,1717297200,1,17.34,65.09,13.16,54.47
155,1717383600,1,21.91,62.5,17.78,76.14
156,1717470000,1,21.06,66.89,17.03,65.67
157,1717556400,1,20.89,49.8,11.96,81.27
158,1717642800,1,23.23,59.14,16.62,81.81
159,1717729200,1,14.63,56.36,17.27,55.27
160,1717815600,1,19.79,56.25,13.24,64.78
161,1717902000,1,22.43,63.88,14.25,66.28
162,1717988400,1,23.04,60.11,14.15,85.55
163,1718074800,1,27.46,42.61,15.93,87.49
164,1718161200,1,21.41,58.42,13.92,64.45
165,1718247600,1,22.34,58.56,14.84,63.87
166,1718334000,1,24.47,64.45,15.44,75.15
167,1718420400,1,26.77,62.21,15.64,68.05
168,1718506800,1,26.46,54.46,13.43,48.94
169,1718593200,1,25.56,64.43,15.11,75.57
170,1718679600,1,26.4,75.18,13.53,71.32
171,1718766000,1,22.55,61.84,11.75,59.94
172,1718852400,1,19.15,58.57,14.77,63.61
173,1718938800,1,20.17,55.32,16.03,75.03
174,1719025200,1,19.13,62.22,17.25,63.72
175,1719111600,1,22.61,67.77,15.16,74.06
176,1719198000,1,21.82,75.18,14.09,73.74
177,1719284400,1,20.26,75.59,19.02,91.11
178,1719370800,1,28.25,70.49,16.33,69.07
179,1719457200,1,23.0,79.77,17.68,89.61
180,1719543600,1,23.98,66.28,15.6,80.3
181,1719630000,1,24.31,68.1,13.45,73.62
182,1719716400,1,26.48,62.59,16.07,66.2
183,1719802800,1,24.36,62.21,13.37,68.55
184,1719889200,1,21.79,58.7,16.64,81.72
185,1719975600,1,18.89,62.83,16.66,67.4
186,1720062000,1,25.88,63.29,13.81,68.16
187,1720148400,1,18.18,62.65,13.4,69.63
188,1720234800,1,19.54,83.54,13.08,54.37
189,1720321200,1,21.68,66.96,17.37,88.58
190,1720407600,1,20.39,86.0,15.06,80.19
191,1720494000,1,24.66,82.49,17.47,68.12
192,1720580400,1,23.35,70.06,14.38,64.62
193,1720666800,1,25.17,56.43,17.65,70.06
194,1720753200,1,24.61,73.27,14.51,72.13
195,1720839600,1,24.94,64.5,15.12,68.25
196,1720926000,1,19.51,64.22,12.89,54.53
197,1721012400,1,23.05,66.66,17.56,73.52
198,1721098800,1,24.24,58.19,18.0,79.13
199,1721185200,1,20.07,56.79,16.43,54.17
200,1721271600,1,23.3,71.94,17.64,79.2
201,1721358000,1,20.6,58.17,14.37,54.56
202,1721444400,1,21.43,62.95,11.22,51.65
203,1721530800,1,24.81,88.2,14.44,63.01
204,1721617200,1,21.59,52.69,14.29,57.68
205,1721703600,1,24.84,69.12,18.07,75.41
206,1721790000,1,23.61,53.24,14.65,77.24
207,1721876400,1,22.77,57.48,16.49,65.73
208,1721962800,1,22.38,63.37,14.22,76.51
209,1722049200,1,20.06,91.9,16.08,55.33
210,1722135600,1,21.48,63.62,14.39,63.42
211,1722222000,1,21.45,63.45,17.32,78.55
212,1722308400,1,19.5,69.22,12.92,64.96
213,1722394800,1,22.15,62.44,13.2,83.88
214,1722481200,1,20.67,64.64,16.74,80.63
215,1722567600,1,22.33,62.81,21.5,68.84
216,1722654000,1,22.34,59.68,17.29,61.0
217,1722740400,1,26.16,55.96,16.83,61.54
218,1722826800,1,26.32,74.9,12.81,73.67
219,1722913200,1,23.55,60.91,13.92,83.69
220,1722999600,1,22.26,74.28,16.52,74.0
221,1723086000,1,19.95,72.13,13.04,65.63
222,1723172400,1,22.97,36.16,15.39,80.57
223,1723258800,1,26.03,74.41,17.42,79.95
224,1723345200,1,22.0,72.2,18.3,76.97
225,1723431600,1,19.41,77.94,16.86,78.25
226,1723518000,1,22.91,52.93,14.64,86.39
227,1723604400,1,20.11,61.75,17.81,68.18
228,1723690800,1,21.2,57.52,15.92,66.7
229,1723777200,1,19.59,49.37,10.32,67.69
230,1723863600,1,23.55,55.97,15.79,76.54
231,1723950000,1,19.78,40.74,17.08,76.22
232,1724036400,1,20.74,61.4,18.21,77.46
233,1724122800,1,21.64,57.72,17.27,79.14
234,1724209200,1,22.52,52.8,14.16,84.87
235,1724295600,1,24.05,60.3,14.18,76.69
236,1724382000,1,27.15,55.87,14.71,70.43
237,1724468400,1,23.3,67.49,13.84,76.66
238,1724554800,1,28.53,63.36,17.85,68.64
239,1724641200,1,25.48,70.6,15.6,73.01
240,1724727600,1,17.85,72.65,15.52,83.4
241,1724814000,1,23.25,57.31,15.74,74.31
242,1724900400,1,17.25,68.09,11.64,62.73
243,1724986800,1,20.51,56.67,19.41,70.26
244,1725073200,1,24.5,72.25,12.91,82.22
245,1725159600,1,25.05,81.26,19.19,70.51
246,1725246000,1,22.51,66.13,15.37,69.09
247,1725332400,1,25.65,57.37,14.2,71.68
248,1725418800,1,24.13,67.07,15.03,88.54
249,1725505200,1,19.48,65.56,11.69,68.31
250,1725591600,1,24.7,78.62,14.27,61.67
251,1725678000,1,28.77,62.86,14.18,84.39
252,1725764400,1,18.75,57.05,16.75,69.09
253,1725850800,1,21.25,63.02,14.91,70.52
254,1725937200,1,17.66,57.6,11.63,59.44
255,1726023600,1,18.01,70.6,12.97,57.38
256,1726110000,1,23.42,58.7,15.53,69.86
257,1726196400,1,24.06,70.93,15.69,52.57
258,1726282800,1,22.94,76.63,15.73,76.19
259,1726369200,1,22.08,58.98,14.88,52.36
260,1726455600,1,20.55,48.84,15.93,67.99
261,1726542000,1,21.77,64.87,14.56,67.6
262,1726628400,1,17.57,80.49,17.68,56.58
263,1726714800,1,22.0,55.96,16.47,82.91
264,1726801200,1,20.28,63.76,12.06,63.82
265,1726887600,1,19.73,52.34,14.67,65.53
266,1726974000,1,19.94,55.58,15.58,56.73
267,1727060400,1,25.33,58.03,14.15,72.63
268,1727146800,1,21.11,69.43,11.56,73.18
269,1727233200,1,22.94,47.29,16.23,79.99
270,1727319600,1,22.96,70.36,12.84,60.14
271,1727406000,1,19.63,51.81,11.53,80.71
272,1727492400,1,23.6,73.21,14.89,75.52
273,1727578800,1,22.78,62.02,21.79,84.29
274,1727665200,1,22.99,70.65,15.75,66.33
275,1727751600,1,23.45,77.05,15.18,59.79
276,1727838000,1,28.12,67.15,16.29,70.84
277,1727924400,1,20.34,45.69,15.01,50.16
278,1728010800,1,25.35,88.96,12.81,68.46
279,1728097200,1,26.79,63.38,15.0,82.87
280,1728183600,1,30.12,45.45,18.43,72.22
281,1728270000,1,21.8,53.89,16.08,79.73
282,1728356400,1,24.87,58.33,16.16,73.87
283,1728442800,1,20.76,50.94,13.05,62.6
284,1728529200,1,19.94,64.02,11.29,63.49
285,1728615600,1,24.65,66.94,14.33,66.17
286,1728702000,1,19.72,67.4,16.32,53.54
287,1728788400,1,20.09,55.04,13.03,88.96
288,1728874800,1,24.72,72.18,18.12,63.99
289,1728961200,1,25.23,45.88,14.0,78.61
290,1729047600,1,24.77,59.22,14.45,74.14
291,1729134000,1,25.02,61.33,13.64,64.87
292,1729220400,1,23.82,59.88,11.91,82.74
293,1729306800,1,24.99,69.32,15.5,53.95
294,1729393200,1,22.3,54.35,17.25,71.79
295,1729479600,1,19.67,54.26,14.95,74.8
296,1729566000,1,22.32,72.99,14.56,62.54
297,1729652400,1,24.53,61.93,15.36,59.43
298,1729738800,1,26.63,51.6,15.68,70.18
299,1729825200,1,26.65,56.72,12.87,57.83
300,1729911600,1,21.71,59.7,14.8,65.08
301,1729998000,1,30.84,70.74,11.68,76.08
302,1730084400,1,21.42,58.24,13.97,81.63
303,1730170800,1,25.53,65.77,11.38,73.61
304,1730257200,1,25.56,61.92,13.29,52.73
305,1730343600,1,24.84,57.14,13.76,68.51
306,1730430000,1,23.29,53.34,14.74,60.1
307,1730516400,1,22.17,65.6,15.21,68.93
308,1730602800,1,25.96,69.08,15.38,72.12
309,1730689200,1,22.91,59.58,12.9,58.61
310,1730775600,1,24.08,53.51,17.75,73.82
311,1730862000,1,24.75,67.03,15.19,50.71
312,1730948400,1,23.07,66.16,16.15,61.99
313,1731034800,1,19.86,70.84,15.52,70.63
314,1731121200,1,23.87,73.12,16.31,75.34
315,1731207600,1,20.79,58.29,15.17,90.41
316,1731294000,1,19.51,67.22,15.1,78.44
317,1731380400,1,25.74,49.62,11.14,55.31
318,1731466800,1,24.28,65.57,15.84,83.36
319,1731553200,1,30.19,74.16,17.61,81.86
320,1731639600,1,18.37,65.74,15.08,66.23
321,1731726000,1,17.03,59.88,14.55,70.33
322,1731812400,1,24.07,61.13,16.0,81.62
323,1731898800,1,20.78,70.96,13.94,71.45
324,1731985200,1,22.82,65.28,12.99,71.66
325,1732071600,1,22.57,51.99,14.48,76.88
326,1732158000,1,18.62,77.54,13.26,70.51
327,1732244400,1,22.1,48.42,13.11,65.29
328,1732330800,1,24.92,85.82,15.27,85.05
329,1732417200,1,19.49,63.73,13.35,76.93
330,1732503600,1,20.09,62.17,14.48,62.86
331,1732590000,1,14.22,69.71,11.84,62.38
332,1732676400,1,29.04,68.42,15.28,77.43
333,1732762800,1,23.15,75.13,15.77,73.15
334,1732849200,1,25.68,74.27,13.68,63.49
335,1732935600,1,28.9,79.1,12.42,58.43
336,1733022000,1,20.83,78.03,12.41,64.26
337,1733108400,1,20.36,81.59,12.5,76.9
338,1733194800,1,18.18,67.25,16.12,65.44
339,1733281200,1,19.33,65.74,10.36,76.68
340,1733367600,1,22.08,63.91,12.85,60.51
341,1733454000,1,19.58,57.92,13.15,86.32
342,1733540400,1,20.95,61.63,17.21,63.93
343,1733626800,1,22.05,69.43,16.3,65.38
344,1733713200,1,28.95,56.29,15.03,87.16
345,1733799600,1,22.74,73.29,16.67,71.14
346,1733886000,1,21.0,66.59,15.01,55.97
347,1733972400,1,22.46,56.4,16.47,71.05
348,1734058800,1,19.03,67.04,12.8,64.66
349,1734145200,1,24.55,69.66,13.36,70.52
350,1734231600,1,26.88,65.35,12.0,59.61
351,1734318000,1,23.41,71.14,13.82,94.92
352,1734404400,1,22.67,48.36,15.95,70.39
353,1734490800,1,22.21,80.95,14.61,65.7
354,1734577200,1,17.5,61.3,15.83,62.4
355,1734663600,1,28.53,55.68,13.4,59.66
356,1734750000,1,22.72,57.85,14.53,65.72
357,1734836400,1,21.73,63.33,14.57,59.98
358,1734922800,1,20.35,64.66,14.05,68.4
359,1735009200,1,14.96,67.49,16.37,63.56
360,1735095600,1,18.52,77.41,16.92,54.1
361,1735182000,1,25.11,65.24,17.32,70.16
362,1735268400,1,18.27,73.41,12.7,60.28
363,1735354800,1,21.72,60.81,19.42,74.7
364,1735441200,1,24.26,78.28,13.24,71.06
365,1735527600,1,22.76,61.12,18.46,83.12
